"","from","to","probability","origin"
"224","Umatilla River Upstream","loss","0.95 (0.66 -   1)","Fifteenmile_Creek"
"225","Umatilla River Upstream","loss","0.93 (0.88 - 0.97)","John_Day_River"
"226","Umatilla River Upstream","loss","  1 (  1 -   1)","Umatilla_River"
"227","Umatilla River Upstream","loss","0.65 (0.0000012 -   1)","Yakima_River"
"228","Umatilla River Upstream","loss","0.42 (0.00000000000000021 -   1)","Walla_Walla_River"
"229","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.24 (0.0000000000038 -   1)","Deschutes_River"
"230","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.27 (0.00000000000092 -   1)","Fifteenmile_Creek"
"231","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.023 (0.00000000000064 - 0.17)","John_Day_River"
"232","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.05 (0.00000000000072 - 0.29)","Umatilla_River"
"233","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.0044 (0.00077 - 0.011)","Yakima_River"
"234","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.48 (0.046 - 0.94)","Walla_Walla_River"
"235","Yakima River Mouth","loss","0.76 (0.000016 -   1)","Deschutes_River"
"236","Yakima River Mouth","loss","0.73 (0.000048 -   1)","Fifteenmile_Creek"
"237","Yakima River Mouth","loss","0.98 (0.83 -   1)","John_Day_River"
"238","Yakima River Mouth","loss","0.95 (0.71 -   1)","Umatilla_River"
"239","Yakima River Mouth","loss","  1 (0.99 -   1)","Yakima_River"
"240","Yakima River Mouth","loss","0.52 (0.061 - 0.95)","Walla_Walla_River"
"241","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.43 (0.000000017 -   1)","Deschutes_River"
"242","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.071 (0.0000000001 - 0.42)","Fifteenmile_Creek"
"243","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.41 (0.17 - 0.67)","John_Day_River"
"244","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.56 (0.26 - 0.82)","Umatilla_River"
"245","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.51 (0.0000000067 -   1)","Yakima_River"
"246","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.011 (0.0061 - 0.019)","Walla_Walla_River"
"247","Walla Walla River Mouth","loss","0.57 (0.00000017 -   1)","Deschutes_River"
"248","Walla Walla River Mouth","loss","0.93 (0.58 -   1)","Fifteenmile_Creek"
"249","Walla Walla River Mouth","loss","0.59 (0.33 - 0.83)","John_Day_River"
"250","Walla Walla River Mouth","loss","0.44 (0.18 - 0.74)","Umatilla_River"
"251","Walla Walla River Mouth","loss","0.49 (0.0000001 -   1)","Yakima_River"
"252","Walla Walla River Mouth","loss","0.99 (0.98 - 0.99)","Walla_Walla_River"
"253","BON to MCN other tributaries","mainstem, BON to MCN","0.07 (0.000000000016 - 0.47)","Deschutes_River"
"254","BON to MCN other tributaries","mainstem, BON to MCN","0.14 (0.024 - 0.27)","Fifteenmile_Creek"
"255","BON to MCN other tributaries","mainstem, BON to MCN","0.18 (0.021 - 0.43)","John_Day_River"
"256","BON to MCN other tributaries","mainstem, BON to MCN","0.7 (0.41 - 0.94)","Umatilla_River"
"257","BON to MCN other tributaries","mainstem, BON to MCN","0.071 (0.0000000000037 - 0.51)","Yakima_River"
"258","BON to MCN other tributaries","mainstem, BON to MCN","0.96 (0.67 -   1)","Walla_Walla_River"
"259","BON to MCN other tributaries","loss","0.93 (0.53 -   1)","Deschutes_River"
"260","BON to MCN other tributaries","loss","0.86 (0.73 - 0.98)","Fifteenmile_Creek"
"261","BON to MCN other tributaries","loss","0.82 (0.57 - 0.98)","John_Day_River"
"262","BON to MCN other tributaries","loss","0.3 (0.06 - 0.59)","Umatilla_River"
"263","BON to MCN other tributaries","loss","0.93 (0.49 -   1)","Yakima_River"
"264","BON to MCN other tributaries","loss","0.039 (0 - 0.33)","Walla_Walla_River"
"265","Upstream WEL other tributaries","mainstem, upstream of WEL","0.51 (0.000000026 -   1)","Deschutes_River"
"266","Upstream WEL other tributaries","mainstem, upstream of WEL","0.51 (0.000000026 -   1)","Fifteenmile_Creek"
"267","Upstream WEL other tributaries","mainstem, upstream of WEL","0.51 (0.000000026 -   1)","John_Day_River"
"268","Upstream WEL other tributaries","mainstem, upstream of WEL","0.51 (0.000000026 -   1)","Umatilla_River"
"269","Upstream WEL other tributaries","mainstem, upstream of WEL","0.51 (0.000000026 -   1)","Yakima_River"
"270","Upstream WEL other tributaries","mainstem, upstream of WEL","0.51 (0.000000026 -   1)","Walla_Walla_River"
