"","tag_code_2","natal_origin"
"344","3D9.1C2C50E8B5",4
"345","3D9.1C2C50E93E",16
"346","3D9.1C2C50EA2A",16
"347","3D9.1C2C50EBB0",4
"348","3D9.1C2C50EBCA",4
"349","3D9.1C2C50EFC7",4
"350","3D9.1C2C50F05E",4
"351","3D9.1C2C50F15D",4
"352","3D9.1C2C50F219",4
"353","3D9.1C2C50F3FA",4
"354","3D9.1C2C50F8B3",16
"355","3D9.1C2C50F9EB",4
"356","3D9.1C2C50FA0D",4
"357","3D9.1C2C50FF6A",4
"358","3D9.1C2C51016F",4
"359","3D9.1C2C5102E0",4
"360","3D9.1C2C5103FF",4
"361","3D9.1C2C5113F9",4
"362","3D9.1C2C5115A3",4
"363","3D9.1C2C512234",16
"364","3D9.1C2C513766",16
"365","3D9.1C2C515611",16
"366","3D9.1C2C516812",16
"367","3D9.1C2C516F05",4
"368","3D9.1C2C516FC1",4
"369","3D9.1C2C517149",4
"370","3D9.1C2C517A44",4
"371","3D9.1C2C517A68",4
"372","3D9.1C2C517C97",4
"373","3D9.1C2C517CA8",4
"374","3D9.1C2C517E4B",16
"375","3D9.1C2C517ED3",4
"376","3D9.1C2C51805A",4
"377","3D9.1C2C518264",4
"378","3D9.1C2C5182BF",4
"379","3D9.1C2C51834D",4
"380","3D9.1C2C5198E1",4
"381","3D9.1C2C519C04",16
"382","3D9.1C2C51CD86",4
"383","3D9.1C2C51DAD4",4
"384","3D9.1C2C51DB9D",16
"385","3D9.1C2C51E7AD",4
"386","3D9.1C2C94436C",16
"387","3D9.1C2C95E5B9",16
"388","3D9.1C2CB10926",4
"389","3D9.1C2CBC3646",4
"390","3D9.1C2CBC39D4",4
"391","3D9.1C2CBC3DA5",4
"392","3D9.1C2CBC3F0C",4
"393","3D9.1C2CBC3F49",4
"394","3D9.1C2CBC4277",4
"395","3D9.1C2CBC4431",4
"396","3D9.1C2CBC4476",4
"397","3D9.1C2CBC473F",4
"398","3D9.1C2CBC52A3",16
"399","3D9.1C2CBE8327",16
"400","3D9.1C2CC045FF",4
"401","3D9.1C2CC04B00",10
"402","3D9.1C2CC04CA8",10
"403","3D9.1C2CC055C1",4
"404","3D9.1C2CC05716",4
"405","3D9.1C2CC0576A",10
"406","3D9.1C2CC05966",10
"407","3D9.1C2CC087BD",4
"408","3D9.1C2CC0A331",16
"409","3D9.1C2CC0A57B",4
"410","3D9.1C2CC0D7EE",10
"411","3D9.1C2CC0DFC7",10
"412","3D9.1C2CC5217E",16
"413","3D9.1C2CC5256B",16
"414","3D9.1C2CC52667",16
"415","3D9.1C2CC5309B",16
"416","3D9.1C2CC92F88",4
"417","3D9.1C2CC93064",16
"418","3D9.1C2CC931A3",16
"419","3D9.1C2CCC81C2",10
"420","3D9.1C2CCC8216",10
"421","3D9.1C2CCD332F",4
"422","3D9.1C2CCD347C",4
"423","3D9.1C2CCD3491",4
"424","3D9.1C2CCD3614",10
"425","3D9.1C2CCD36F8",4
"426","3D9.1C2CCD40CD",4
"427","3D9.1C2CCD44D6",4
"428","3D9.1C2CCD4539",4
"429","3D9.1C2CCD6A98",4
"430","3D9.1C2CCD6CD7",4
"431","3D9.1C2CCD6F15",4
"432","3D9.1C2CCD7188",4
"433","3D9.1C2CCD7237",4
"434","3D9.1C2CCD72E6",4
"435","3D9.1C2CCD72F8",4
"436","3D9.1C2CCD75E1",10
"437","3D9.1C2CCD767F",4
"438","3D9.1C2CCD76B4",4
"439","3D9.1C2CCD9FD6",4
"440","3D9.1C2CCDA88C",4
"441","3D9.1C2CCDA88C_repeat",4
"442","3D9.1C2CCDA8D8",4
"443","3D9.1C2CCDA8EA",10
"444","3D9.1C2CCDA9F8",4
"445","3D9.1C2CCDAE66",10
"446","3D9.1C2CCDAFB3",4
"447","3D9.1C2CCDAFBA",10
"448","3D9.1C2CCDB11C",4
"449","3D9.1C2CCDB155",4
"450","3D9.1C2CCDD63F",4
"451","3D9.1C2CCDD7E6",10
"452","3D9.1C2CCDD912",10
"453","3D9.1C2CCDD953",4
"454","3D9.1C2CCDD9A2",4
"455","3D9.1C2CCDE09B",10
"456","3D9.1C2CCDE3ED",10
"457","3D9.1C2CCDE46C",4
"458","3D9.1C2CCDE611",4
"459","3D9.1C2CCDEB6D",10
"460","3D9.1C2CCE0EFD",10
"461","3D9.1C2CCE1099",10
"462","3D9.1C2CCE1AD5",4
"463","3D9.1C2CD78DE2",4
"464","3D9.1C2CD78E94",10
"465","3D9.1C2CDA9636",10
"466","3D9.1C2CDAA0CA",10
"467","3D9.1C2CDB349B",16
"468","3D9.1C2CDB3599",4
"469","3D9.1C2CDB38EA",16
"470","3D9.1C2CDB3B1D",16
"471","3D9.1C2CDB3B51",16
"472","3D9.1C2CDB3BCF",16
"473","3D9.1C2CDB3C75",16
"474","3D9.1C2CDB3D30",16
"475","3D9.1C2CDB3D85",4
"476","3D9.1C2CDB3DE5",16
"477","3D9.1C2CDB41C4",4
"478","3D9.1C2CDBEE86",16
"479","3D9.1C2CDBF5BD",16
"480","3D9.1C2CDBF900",16
"481","3D9.1C2CDBF910",4
"482","3D9.1C2CDC1A53",4
"483","3D9.1C2CDC26D3",16
"484","3D9.1C2CDC2BB9",16
"485","3D9.1C2CDC364B",16
"486","3D9.1C2CDC464B",16
"487","3D9.1C2CDC478B",16
"488","3D9.1C2CDC47E5",16
"489","3D9.1C2CDC480B",16
"490","3D9.1C2CDC486A",16
"491","3D9.1C2CDC4BE0",16
"492","3D9.1C2CDC4FA7",16
"493","3D9.1C2CDC505D",16
"494","3D9.1C2CDC5321",16
"495","3D9.1C2CDD00F9",16
"496","3D9.1C2CDD6C78",4
"497","3D9.1C2CDD6D1A",10
"498","3D9.1C2CDD6ED7",4
"499","3D9.1C2CDD6F5C",4
"500","3D9.1C2CDD6FF0",4
"501","3D9.1C2CDD70AD",4
"502","3D9.1C2CDD727B",4
"503","3D9.1C2CDD756D",4
"504","3D9.1C2CDD7618",4
"505","3D9.1C2CDD777B",4
"506","3D9.1C2CDD7ADC",4
"507","3D9.1C2CDD7B21",4
"508","3D9.1C2CDD7BD8",4
"509","3D9.1C2CDD7EFF",4
"510","3D9.1C2CDDA63A",10
"511","3D9.1C2CDDAEF3",4
"512","3D9.1C2CDDCB2D",10
"513","3D9.1C2CDDE136",10
