day,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
277,110.300,95.900,111.196,145.508,129.358,102.892,94.683,102.733,137.513,141.467,120.300,134.746,128.908,174.642,119.608,122.092,80.929,95.342,118.671,161.642,136.617,105.804,96.538,100.450,110.879,111.867,144.558,92.179,97.429,76.717,127.729,124.592,146.108,98.821,118.521,109.000,78.671,128.642,83.575,96.988,115.163,116.433,107.192,106.463,79.421,80.554,100.046,112.221,117.475,84.075,88.292,84.613,114.888,92.275,85.517,97.808,83.371,84.717,
278,106.000,94.900,99.438,125.771,105.904,121.563,113.296,129.838,124.217,141.775,108.367,145.817,106.954,165.204,119.492,106.042,139.788,110.375,136.663,155.867,131.908,91.146,103.467,104.317,112.417,110.596,108.567,101.033,96.300,72.404,118.725,143.633,157.971,113.929,128.104,130.879,79.613,85.608,77.088,117.888,126.791,100.976,101.279,74.842,84.358,110.929,117.138,104.425,92.746,81.896,91.033,88.338,123.717,92.383,84.696,110.483,88.854,85.844,
279,114.200,98.100,117.692,121.888,95.963,123.354,106.258,116.900,102.796,138.358,105.408,186.233,125.892,145.429,121.650,90.571,142.267,121.563,128.979,156.792,108.365,97.471,132.579,97.717,100.163,122.742,87.842,99.108,101.854,71.254,111.263,117.904,186.533,116.667,131.392,129.683,79.917,82.825,77.679,111.538,111.050,87.708,89.567,72.571,83.671,120.475,120.821,82.892,90.217,113.958,109.604,107.913,101.883,76.733,80.638,117.633,93.825,104.550,
280,108.200,93.900,107.375,111.475,118.292,130.608,110.325,114.542,98.388,129.938,118.467,187.875,132.625,127.288,105.221,90.925,145.429,124.867,114.596,109.300,134.683,123.696,135.021,95.588,91.483,122.513,91.017,104.013,122.083,72.275,117.017,126.683,170.050,125.067,134.721,117.908,78.221,105.554,101.454,106.292,120.808,99.113,81.313,78.404,86.804,108.633,102.663,80.071,88.525,105.538,107.038,103.883,84.483,72.325,82.325,95.533,98.246,80.400,
281,93.100,86.800,103.892,118.900,122.679,124.471,105.517,106.633,106.688,140.417,120.167,163.788,109.267,125.038,119.650,89.367,143.646,134.750,105.833,101.229,141.425,142.738,126.100,109.808,96.304,111.613,100.558,93.558,123.617,90.071,116.713,120.046,202.563,103.846,132.354,112.483,72.258,98.238,106.608,124.133,119.825,107.971,88.100,80.096,106.042,107.079,112.704,75.942,92.813,105.296,97.571,95.250,85.492,73.421,74.867,96.988,116.117,84.078,
282,107.100,104.900,112.100,117.046,121.975,97.904,109.821,102.638,125.900,141.313,119.113,143.825,92.479,127.479,115.033,92.500,108.792,129.113,94.083,102.379,136.592,122.425,126.104,104.842,108.475,110.046,126.033,99.358,104.283,73.138,119.088,144.583,207.913,103.813,127.233,109.521,72.692,121.733,110.117,144.492,108.379,111.825,103.071,105.500,97.813,121.283,104.050,78.767,102.038,107.058,88.500,89.508,115.867,83.158,111.329,98.763,85.292,79.178,
283,105.600,97.000,117.704,133.550,122.000,88.725,102.554,103.979,114.538,140.200,126.246,140.550,88.879,145.896,113.688,92.721,97.863,102.783,104.217,115.075,145.933,130.350,119.129,92.733,97.246,114.275,113.608,95.404,85.667,77.738,131.879,129.217,167.338,111.954,126.500,112.071,92.017,127.892,108.492,119.083,118.829,113.879,104.729,106.258,90.433,109.333,125.617,109.717,106.113,98.592,83.475,91.583,103.738,91.196,106.600,93.463,78.192,78.144,
284,108.300,98.500,105.013,135.133,121.971,91.975,95.017,112.792,109.058,140.183,113.292,110.250,99.079,158.029,124.350,102.563,125.638,112.400,129.079,123.196,140.338,119.283,99.021,96.075,113.567,124.758,133.438,91.517,86.958,95.425,137.563,121.767,185.854,101.300,125.804,108.350,92.079,124.321,108.817,95.150,108.263,104.263,108.979,102.417,87.963,100.017,125.292,97.358,112.192,80.179,81.954,117.242,96.279,95.854,107.621,83.908,90.475,76.994,
285,105.000,102.700,116.513,139.213,122.629,106.575,121.196,120.058,112.138,106.521,84.517,134.233,97.933,172.829,104.954,89.042,140.358,132.242,158.454,124.663,131.850,103.883,101.054,112.175,119.688,93.475,120.742,83.813,101.296,113.550,124.021,145.179,224.917,108.383,126.184,123.233,87.263,104.000,82.400,92.025,119.671,116.413,115.942,96.233,98.417,117.263,111.729,91.588,117.692,83.742,76.433,112.183,113.279,94.542,76.283,86.054,99.246,79.794,
286,126.700,118.900,109.138,139.988,121.896,106.671,112.608,139.413,104.888,101.300,92.588,145.767,108.967,167.825,88.038,92.575,125.375,132.500,146.992,148.096,119.117,118.108,125.733,121.767,128.767,106.196,108.528,91.850,92.433,108.238,158.888,142.208,210.117,128.704,126.504,119.063,76.242,89.513,93.071,94.117,109.163,115.342,105.546,80.008,100.813,121.008,119.250,81.013,114.296,99.063,84.533,123.821,99.004,90.175,86.196,78.892,97.225,81.678,
287,120.600,127.700,103.042,140.363,112.192,107.833,138.933,140.358,91.063,108.958,109.196,159.629,103.942,108.742,96.379,87.196,127.175,136.000,108.329,120.300,107.346,133.113,154.058,129.063,116.733,102.796,107.208,103.221,105.675,85.863,155.900,133.346,187.079,116.704,133.188,117.304,78.888,101.125,102.154,101.733,112.342,103.350,84.267,89.042,94.213,126.567,140.871,72.879,122.808,98.233,105.596,115.542,97.079,90.317,90.125,103.846,81.688,93.883,
288,128.700,119.000,116.967,130.267,115.108,114.063,135.638,114.996,106.358,124.517,129.963,180.954,82.308,98.492,107.188,92.700,135.425,136.008,112.779,121.258,121.050,141.817,166.979,97.125,112.525,119.525,103.050,102.067,105.808,120.167,129.504,151.367,214.954,122.379,147.838,102.383,103.679,120.821,112.388,90.075,109.767,88.742,82.925,98.163,112.342,114.396,144.467,73.075,112.675,88.817,133.408,112.517,84.571,103.879,100.617,116.875,85.475,91.650,
289,124.500,94.400,110.254,134.179,115.725,110.944,127.171,109.483,97.975,137.267,133.871,176.013,77.079,105.875,119.854,119.958,132.571,133.154,133.192,139.896,125.746,137.250,152.221,109.942,107.125,113.708,87.804,112.338,87.592,126.704,101.538,137.933,203.538,114.042,141.596,113.925,95.342,90.713,115.363,121.121,92.133,102.088,98.525,132.896,90.213,114.508,139.096,79.975,112.904,102.125,109.663,137.121,93.446,94.975,101.279,110.746,90.092,79.294,
290,117.000,94.500,109.092,117.788,106.892,141.696,96.008,107.029,132.758,141.613,132.279,167.300,92.508,123.133,102.108,118.950,100.550,122.638,114.133,140.467,130.746,143.413,138.175,102.804,124.942,132.413,106.092,95.638,77.308,90.579,102.071,132.063,208.517,115.588,128.279,115.479,116.371,100.846,112.100,88.108,90.446,84.521,88.875,97.429,90.463,101.575,135.083,81.079,130.538,107.979,96.033,133.133,84.613,89.338,96.754,100.658,75.533,84.361,
291,115.400,102.900,115.800,93.250,111.863,98.004,102.438,127.367,110.763,148.758,102.604,120.179,108.271,122.213,108.175,118.246,109.517,143.138,134.938,127.100,136.250,125.925,101.125,107.300,128.608,114.425,145.308,90.121,97.592,83.692,126.679,130.633,190.338,114.158,126.000,107.879,118.750,95.863,88.683,83.246,119.413,82.217,136.479,105.392,77.642,112.117,132.354,84.758,145.854,97.092,82.279,126.254,96.313,86.388,95.717,103.513,85.533,91.422,
292,117.000,96.600,131.138,114.388,137.858,102.213,127.025,124.975,113.525,109.217,90.638,144.983,111.767,115.321,117.754,132.867,124.704,164.663,140.413,106.946,139.623,112.500,111.263,126.950,114.433,92.942,115.146,90.108,120.363,94.275,132.004,131.317,153.225,96.129,129.071,112.067,96.517,82.308,81.183,104.342,124.033,85.804,86.579,103.275,87.571,109.233,116.871,93.038,118.075,84.308,91.996,118.654,91.538,104.458,76.308,92.725,101.196,102.128,
293,117.900,84.500,123.392,93.454,118.121,132.421,121.429,136.871,95.004,92.433,106.479,182.833,113.613,146.492,117.763,109.954,136.733,155.542,130.692,143.546,117.746,122.604,151.708,133.913,119.888,91.429,111.838,110.375,116.054,106.888,147.608,133.892,158.433,107.129,124.913,105.058,80.242,77.008,95.388,114.592,115.575,91.021,86.267,96.146,91.288,111.738,112.100,79.417,106.921,90.513,89.108,125.758,80.058,86.725,103.321,95.354,96.400,94.694,
294,119.800,99.900,109.229,94.242,102.188,142.217,126.708,134.283,92.388,131.708,135.642,175.508,97.508,170.192,119.542,109.238,150.450,153.404,138.775,143.450,118.775,142.954,138.167,116.392,92.579,104.542,108.263,98.200,102.417,96.258,126.875,141.633,139.063,112.871,129.033,118.600,75.133,99.100,102.563,142.295,114.775,110.625,106.221,96.625,104.242,92.933,121.563,79.492,118.654,101.500,101.408,114.500,88.958,78.188,92.288,80.146,107.788,91.656,
295,113.900,97.600,105.175,103.042,101.654,134.717,129.896,115.075,104.142,140.533,134.908,144.829,88.750,151.521,120.658,119.667,147.308,140.029,116.679,109.788,124.654,134.975,133.663,121.867,95.050,103.063,116.271,96.979,92.392,111.250,123.217,161.683,137.721,108.463,135.883,131.883,76.058,93.000,103.988,138.538,106.138,88.650,103.750,115.321,102.363,87.342,124.313,94.750,121.150,95.592,101.421,123.775,116.825,92.688,78.429,93.538,88.217,77.406,
296,104.600,102.100,114.225,121.779,106.579,130.875,108.963,103.358,125.779,164.871,133.183,153.617,78.729,132.992,118.908,99.013,160.792,121.325,100.313,151.458,129.425,111.479,130.458,108.667,98.917,131.517,122.825,91.388,93.504,87.804,126.021,119.525,144.963,100.588,125.863,96.542,79.588,113.767,105.304,136.483,85.013,100.533,109.238,126.675,74.996,85.454,105.621,112.975,114.538,104.871,110.596,106.750,105.592,104.379,98.313,105.004,97.367,76.433,
297,109.200,96.700,119.675,111.967,113.421,100.621,112.571,120.621,129.896,170.250,180.538,143.333,84.575,147.933,119.804,111.538,130.029,99.208,107.767,146.721,137.054,104.183,117.454,112.958,114.771,98.592,120.713,91.008,81.688,103.713,114.925,133.988,166.938,100.800,126.875,105.646,105.483,108.908,133.308,125.354,108.750,96.713,102.321,100.367,75.138,80.846,105.121,116.775,112.975,106.804,108.842,127.842,113.613,122.608,93.988,114.725,96.717,99.133,
298,107.500,95.300,103.554,133.325,122.471,94.491,112.913,126.429,113.742,167.558,158.050,102.725,80.663,138.858,119.121,113.375,91.450,113.633,124.696,148.804,136.675,139.192,101.308,115.675,155.217,124.408,127.854,78.404,108.771,106.213,136.138,135.792,124.904,100.713,124.813,101.567,89.604,116.850,135.675,110.017,115.771,105.804,110.179,97.896,111.988,83.800,134.133,114.258,104.850,80.246,108.863,135.733,93.529,116.704,80.208,115.621,99.658,96.011,
299,115.000,95.000,110.692,119.258,114.561,92.550,119.833,127.013,116.063,128.521,136.591,103.996,92.029,139.404,118.304,100.600,110.596,130.292,112.721,111.796,138.975,111.921,111.667,128.004,138.013,112.933,131.675,82.033,116.867,96.813,130.521,143.150,116.088,100.558,132.833,112.783,90.604,121.771,132.483,113.413,119.258,106.871,101.275,88.100,94.879,105.450,140.333,119.625,108.896,82.375,96.113,121.083,91.121,118.979,81.542,115.333,91.829,92.039,
300,108.100,93.000,111.958,122.442,118.092,138.079,125.604,124.408,99.438,99.504,150.604,134.929,118.521,137.383,118.383,98.300,131.963,146.125,100.204,148.542,134.313,133.075,130.204,109.883,119.167,94.171,101.542,94.317,108.438,112.558,140.767,135.217,140.808,100.963,136.200,120.104,95.125,96.683,125.758,124.275,119.046,108.075,101.992,84.054,91.988,101.313,111.067,135.996,95.796,96.908,106.692,134.025,90.225,108.758,90.046,115.254,86.317,95.839,
301,106.200,96.000,113.779,103.578,105.308,160.971,135.538,152.050,88.857,114.233,151.867,140.942,124.604,137.596,118.491,113.033,134.558,157.092,114.525,167.188,119.163,124.192,131.538,132.158,102.696,99.600,122.304,105.042,102.750,118.925,136.417,101.367,155.138,101.142,140.971,116.325,95.233,114.813,117.988,128.800,117.846,94.954,85.667,103.783,118.446,102.004,128.417,121.300,99.250,105.188,109.808,136.729,93.150,90.171,100.946,118.563,91.313,98.767,
302,104.500,91.500,124.296,104.275,122.213,135.025,141.604,142.679,100.896,155.125,151.808,137.867,112.783,132.039,123.342,120.188,137.792,176.133,130.283,133.529,131.663,124.721,124.433,144.663,108.492,102.342,133.325,98.038,112.996,104.133,118.483,134.017,141.033,100.500,127.457,111.304,107.363,123.854,120.096,105.375,108.629,81.020,98.804,98.821,114.133,104.263,135.321,104.900,117.400,107.421,92.921,142.225,85.438,102.113,118.967,120.250,81.200,96.842,
303,96.900,89.200,112.429,103.058,133.508,115.638,140.633,120.270,107.425,158.813,153.617,177.171,90.883,121.521,119.667,116.571,129.158,181.404,126.025,124.667,125.750,138.917,122.325,114.592,130.558,120.913,152.008,102.475,121.604,97.471,123.304,135.358,138.171,104.304,127.758,115.788,99.075,122.304,132.733,107.921,92.621,117.408,91.983,100.604,79.758,105.142,102.167,133.550,107.833,122.275,84.079,150.138,95.154,102.371,110.192,122.096,90.375,92.438,
304,96.600,102.900,104.475,129.267,113.096,100.200,111.204,164.992,130.654,153.338,137.629,151.308,96.238,134.917,111.975,116.900,96.242,177.513,120.017,116.867,145.054,143.467,124.146,114.763,137.242,121.192,142.771,115.713,112.296,119.346,120.596,137.004,162.646,105.913,124.500,122.404,79.675,134.721,128.425,105.396,116.133,138.533,106.258,112.029,79.617,100.963,101.967,138.321,97.367,125.708,103.179,149.592,99.429,95.646,96.775,93.488,78.583,106.329,
305,98.400,101.300,108.875,138.625,122.708,76.054,123.283,156.138,135.567,170.738,134.708,134.039,121.692,137.092,116.667,115.167,96.225,174.596,119.646,142.308,167.733,155.621,100.438,129.225,142.079,113.483,151.621,91.483,106.538,130.929,152.113,126.517,164.346,105.913,125.083,126.513,98.742,140.721,127.921,106.480,121.829,137.100,100.304,107.825,95.096,119.354,142.558,134.283,87.204,120.500,109.648,150.475,81.308,100.883,93.921,96.113,133.625,130.876,
306,104.500,92.400,111.100,138.204,84.046,113.696,124.025,157.829,135.279,128.779,132.642,140.654,123.338,138.854,120.458,116.917,122.992,202.904,120.642,140.896,137.904,126.138,92.363,135.708,132.158,132.608,132.038,85.617,102.317,118.179,144.642,122.000,130.608,105.321,127.321,129.204,98.250,138.454,118.000,123.983,120.842,125.192,107.179,94.879,108.829,121.375,143.288,127.283,88.550,124.972,112.475,146.554,91.046,119.763,113.092,134.228,129.325,128.882,
307,104.900,98.800,107.325,135.267,94.992,120.342,141.204,174.804,135.158,101.567,133.979,142.104,133.108,137.963,136.167,117.600,110.475,161.138,125.150,147.929,126.642,128.438,99.942,124.263,177.600,114.104,118.321,100.608,105.525,136.942,129.646,114.983,156.446,110.358,132.888,138.279,90.883,117.679,134.833,124.958,122.133,97.783,93.017,82.624,120.983,125.025,130.188,127.142,99.564,122.442,109.104,154.308,98.450,128.479,86.356,134.621,129.596,128.913,
308,110.000,108.200,119.171,103.608,104.138,106.354,159.717,135.088,130.579,133.783,132.963,140.133,119.713,141.679,138.304,121.004,146.058,157.829,132.104,151.313,120.300,134.083,118.017,114.796,120.421,118.446,133.058,111.092,122.292,115.379,113.321,99.283,151.000,122.567,132.421,132.471,83.663,123.046,130.100,124.060,123.504,89.746,80.720,91.383,121.242,122.217,127.525,118.338,121.975,114.367,119.096,158.104,115.900,125.928,126.625,136.392,118.508,129.247,
309,102.500,104.100,115.625,111.379,139.567,107.988,168.429,102.438,134.838,142.946,135.821,140.883,120.392,139.204,138.875,121.996,143.217,152.658,139.758,134.179,129.550,131.046,113.838,106.000,98.508,121.125,136.571,106.179,121.029,107.254,101.450,133.525,159.204,124.975,126.746,126.804,89.321,122.463,134.963,128.154,124.258,111.808,103.513,87.296,121.046,118.054,126.825,128.500,122.675,116.075,111.442,156.775,112.896,125.058,132.088,134.458,116.971,130.300,
310,101.900,110.800,104.638,124.258,139.817,144.017,151.538,104.763,133.888,149.815,167.263,133.642,103.279,140.404,135.579,122.171,127.396,170.704,132.092,115.233,152.304,152.317,116.521,102.696,101.258,137.967,132.104,107.371,93.325,97.488,105.058,140.642,174.967,125.183,130.217,127.650,112.725,119.725,139.133,128.938,113.792,122.479,112.317,129.696,110.700,117.038,125.516,124.554,132.121,114.925,115.738,152.267,120.950,124.883,134.154,128.796,120.283,125.306,
311,98.400,94.100,105.896,136.821,141.158,115.208,116.608,105.396,129.504,142.500,161.167,128.675,99.242,136.975,135.588,106.433,107.908,134.621,139.775,130.633,155.971,151.504,118.146,106.713,114.154,136.833,131.579,110.242,89.571,106.796,113.125,126.304,179.917,125.258,130.596,126.267,116.838,118.554,139.946,126.883,122.817,157.292,113.079,121.688,115.729,113.084,125.425,124.088,118.558,121.717,129.088,144.572,124.700,127.950,133.975,128.446,118.412,122.861,
312,104.300,99.600,119.000,111.704,141.350,109.033,126.246,113.158,100.150,143.104,165.867,127.308,114.279,140.321,136.192,118.858,100.771,148.354,141.325,131.517,175.442,134.300,92.075,124.679,135.700,139.588,143.592,98.229,113.563,118.458,122.846,128.813,135.304,125.479,138.421,125.808,125.708,118.479,129.671,118.604,135.829,211.854,87.379,125.413,126.267,115.392,133.363,124.404,114.254,128.225,125.167,145.379,130.433,128.058,131.083,128.121,120.100,140.972,
313,106.100,96.900,124.125,138.571,127.858,108.433,140.308,132.517,113.088,147.996,143.596,124.263,134.746,132.671,136.271,123.917,137.646,177.846,150.983,135.788,156.150,133.975,92.979,139.483,135.483,148.350,130.304,92.708,141.929,122.142,116.946,126.550,148.358,125.363,139.925,128.146,128.563,119.408,123.154,115.567,133.321,182.263,85.696,124.946,138.029,119.350,125.750,125.696,119.954,128.396,124.008,147.442,125.592,129.142,128.325,130.646,116.700,140.650,
