day,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
32,,176.525,128.125,154.204,166.925,141.725,262.354,163.533,214.829,175.346,179.321,219.988,167.550,179.413,182.717,198.646,217.513,241.871,145.492,107.442,162.550,209.904,200.025,213.663,119.775,124.013,158.629,178.396,264.796,292.067,172.204,226.696,198.383,119.292,169.767,169.804,116.796,141.492,177.000,163.258,92.142,129.488,111.029,227.425,122.208,130.646,112.183,207.938,152.621,147.129,212.729,130.617,129.858,139.458,189.092,140.644
33,,187.233,122.654,168.625,152.571,176.371,270.850,133.558,226.796,166.079,181.667,238.033,138.992,169.271,177.146,213.713,230.313,205.854,140.913,155.454,176.167,229.688,162.221,204.508,113.496,125.971,173.542,195.417,260.317,278.196,188.471,201.208,199.146,111.083,145.213,200.292,146.675,144.458,179.246,146.392,145.325,123.654,100.067,205.613,125.904,129.217,107.038,215.342,154.950,149.171,213.117,135.367,136.029,149.721,188.879,144.372
34,,166.096,125.900,169.113,182.892,140.825,289.288,169.408,216.258,176.079,177.383,195.579,130.238,197.333,194.154,242.879,243.246,185.013,131.521,159.429,179.221,211.596,142.246,171.596,112.338,122.233,164.829,195.479,261.396,259.367,200.763,222.967,212.517,113.429,122.125,161.904,136.000,149.367,163.333,154.946,110.871,111.896,103.800,195.146,119.150,131.875,109.329,195.063,152.608,161.000,199.638,121.421,148.125,164.321,185.267,134.267
35,,194.604,132.496,194.929,157.704,109.329,291.804,169.121,240.413,160.646,141.696,106.454,124.829,232.729,189.804,267.725,177.338,226.938,148.354,136.025,153.704,164.038,133.421,158.950,119.988,145.958,154.150,163.529,234.854,285.804,182.617,236.896,215.263,110.308,153.775,158.008,131.213,144.679,117.488,113.504,143.413,125.242,105.004,195.113,122.133,145.129,105.992,209.183,147.238,162.783,210.088,125.217,181.542,156.200,186.450,135.639
36,,208.629,137.046,211.442,176.079,123.025,282.713,185.304,238.629,116.875,158.517,141.125,122.125,232.767,194.938,239.125,168.942,268.517,167.729,116.700,155.804,104.767,140.883,177.083,122.496,113.925,163.413,129.704,229.750,295.525,195.496,237.358,184.042,112.596,153.583,130.629,151.783,154.342,164.354,137.979,140.317,118.721,104.254,159.646,116.458,124.596,119.425,218.375,121.188,164.979,223.521,132.704,177.021,126.783,173.283,122.222
37,,214.117,159.825,201.896,139.804,127.354,277.483,185.908,200.650,98.742,139.825,165.421,134.975,217.104,172.096,161.583,214.504,225.483,161.350,136.771,130.013,176.408,147.288,184.413,125.763,103.971,154.450,155.158,260.438,299.779,194.117,208.742,176.800,112.796,159.467,133.446,120.025,147.229,187.221,135.150,121.542,103.258,108.146,147.833,123.142,140.788,138.079,212.042,106.783,155.050,238.754,139.971,188.363,150.217,160.096,115.511
38,,189.825,176.858,198.058,153.392,164.113,249.425,168.246,185.179,115.979,158.883,149.496,129.088,191.058,190.192,208.642,230.017,201.708,165.213,131.308,131.775,189.921,163.892,183.371,118.817,88.063,153.963,185.954,249.250,292.983,197.142,221.492,182.763,133.242,155.146,144.663,123.254,157.863,194.517,137.317,107.546,111.717,100.758,152.075,127.367,136.904,124.317,220.700,104.471,155.933,223.696,128.229,203.717,123.638,155.767,126.289
39,,178.083,97.263,150.917,149.379,173.942,239.838,161.013,223.658,153.633,172.013,164.971,126.371,154.621,199.217,217.771,207.958,208.304,172.421,113.004,130.992,164.992,165.329,191.658,123.096,108.654,164.050,193.192,303.850,246.479,175.596,233.771,183.467,113.008,159.388,138.304,111.254,148.683,156.058,139.204,126.146,112.246,118.263,208.496,129.975,137.883,123.646,231.121,132.675,158.033,248.542,129.004,229.133,142.733,176.917,116.089
40,,139.942,94.117,127.696,172.163,165.379,238.467,124.700,181.933,138.571,174.863,141.746,156.821,165.567,189.946,239.596,245.554,204.696,169.742,134.954,118.308,163.050,183.567,168.246,105.021,105.108,169.875,163.438,282.121,289.413,195.417,228.217,171.504,119.183,164.179,115.904,119.838,151.663,176.788,127.342,127.875,122.263,111.088,213.108,117.938,141.879,120.892,213.875,122.413,176.333,255.096,122.621,213.188,153.054,149.621,123.650
41,,105.300,101.708,164.117,190.163,134.792,252.900,144.513,191.075,115.246,174.438,159.704,124.279,209.663,186.875,249.663,218.083,205.192,182.092,128.625,134.504,156.346,171.329,167.976,108.938,116.750,154.192,186.054,370.142,286.996,217.263,226.379,173.858,120.654,124.075,111.613,120.850,166.358,177.079,148.879,76.675,115.863,112.321,216.038,121.942,129.496,124.508,225.179,143.379,196.038,251.071,125.417,217.400,164.208,136.479,133.944
42,,118.308,135.163,185.833,185.304,116.971,254.971,196.463,220.454,122.333,181.454,130.675,120.850,227.296,195.542,252.292,233.275,187.667,202.658,149.213,137.333,122.200,132.654,193.483,111.454,108.042,131.579,179.804,372.925,224.833,226.067,218.304,186.704,113.708,138.688,122.021,130.092,153.729,163.404,135.088,111.575,135.358,110.358,218.271,128.021,137.842,112.629,246.904,154.275,223.554,286.671,116.667,197.154,169.442,150.821,121.794
43,,198.904,129.933,194.921,144.354,129.000,237.958,153.067,201.971,107.946,180.817,162.733,147.633,196.779,193.383,217.654,205.988,166.713,195.129,137.833,111.979,107.808,159.088,194.108,128.791,118.642,154.146,144.017,347.492,277.517,209.279,218.342,225.296,127.708,168.250,116.917,125.750,148.379,141.021,133.429,125.408,151.204,103.733,214.638,130.183,145.363,90.288,246.567,159.554,239.350,254.896,125.825,200.496,171.367,154.571,128.267
44,,193.521,109.421,185.733,107.967,131.163,222.733,144.704,197.417,79.892,153.679,182.796,171.571,199.921,188.029,174.346,164.208,208.158,193.563,140.363,111.546,129.450,193.196,200.392,104.461,109.400,114.500,185.492,347.742,263.558,214.583,223.217,189.833,118.492,140.429,122.988,139.917,106.658,184.713,135.363,155.654,114.067,109.958,174.596,121.167,130.275,71.383,239.554,157.771,236.913,241.088,132.308,191.367,165.054,166.138,124.128
45,,209.504,118.292,181.479,138.904,134.742,211.825,211.471,208.958,115.404,154.371,221.413,186.183,135.408,184.092,186.938,254.317,220.646,192.204,140.367,125.988,149.292,198.971,204.767,114.388,77.746,141.575,189.900,382.096,256.792,189.813,217.925,170.108,131.975,181.179,119.163,128.238,127.108,174.388,165.800,162.988,111.900,102.838,201.775,129.667,132.529,116.608,234.000,135.663,197.625,240.088,138.333,189.775,166.563,162.488,131.467
46,,192.121,118.446,178.258,143.992,159.550,207.979,199.388,203.754,115.996,194.654,201.796,230.038,142.517,179.125,183.117,235.888,238.225,166.792,128.754,124.004,181.875,207.988,205.938,114.654,123.546,136.696,189.250,337.888,267.942,167.225,217.829,189.129,136.846,152.350,100.529,109.446,153.408,176.104,144.513,158.350,108.029,101.042,219.650,146.192,143.242,132.800,245.383,143.883,191.050,240.200,118.304,204.446,178.763,162.663,137.228
47,,141.675,134.008,183.938,185.279,153.354,193.521,160.304,190.242,138.717,178.771,196.850,162.392,154.463,148.638,224.229,226.171,209.096,127.563,142.367,125.133,163.846,225.488,204.813,98.513,156.904,126.458,201.675,357.308,271.954,179.442,193.488,195.846,137.092,124.358,98.346,121.583,159.563,175.975,135.008,114.942,115.183,103.325,213.725,152.529,141.725,94.492,244.729,175.250,191.417,236.921,128.479,160.846,176.333,173.696,128.494
48,,174.767,167.658,199.946,158.704,138.658,175.208,179.646,222.733,108.950,210.992,174.288,122.983,184.329,183.504,220.467,204.504,189.225,160.875,145.171,142.933,167.683,192.296,206.600,106.813,169.863,124.600,186.042,374.204,261.454,191.904,198.175,225.850,131.854,109.713,110.808,116.704,158.329,184.746,131.188,117.092,114.888,107.671,221.488,120.817,145.275,124.175,230.550,217.971,191.450,225.988,137.050,184.829,177.946,156.275,123.428
