Row Labels,Count of tag_code
Umatilla_River,64
Walla_Walla_River,641
Yakima_River,17
"mainstem, upstream of LGR",30034
Asotin_Creek,482
Clearwater_River,6326
Deschutes_River,2
Fifteenmile_Creek,2
Grande_Ronde_River,5503
Imnaha_River,4131
John_Day_River,240
Methow_River,12
Okanogan_River,2
Salmon_River,9505
Tucannon_River,2747
Umatilla_River,113
Walla_Walla_River,952
Wenatchee_River,2
Yakima_River,15
Tucannon River,1350
Asotin_Creek,8
Clearwater_River,7
Deschutes_River,1
Fifteenmile_Creek,1
Grande_Ronde_River,13
Imnaha_River,6
John_Day_River,20
Salmon_River,19
Tucannon_River,989
Umatilla_River,16
Walla_Walla_River,268
Yakima_River,2
