Row Labels,Count of tag_code
"mainstem, MCN to ICH or PRA",52033
Hood River,1
Salmon_River,1
loss,1831
Asotin_Creek,12
Clearwater_River,132
Deschutes_River,3
Entiat_River,3
Fifteenmile_Creek,18
Grande_Ronde_River,103
