"","tag_code_2","natal_origin","rear_type"
"688","384.3B2395F8AE",12,2
"689","384.3B2395F8BB",12,2
"690","384.3B2395F93B",12,2
"691","384.3B2395F9D1",12,2
"692","384.3B2395F9F6",12,2
"693","384.3B2395FB54",12,2
"694","384.3B2395FB88",12,2
"695","384.3B2395FB9E",12,2
"696","384.3B2395FC02",12,2
"697","384.3B239603BF",12,2
"698","384.3B239604A5",12,2
"699","384.3B23960562",2,2
"700","384.3B239605F2",12,2
"701","384.3B23960617",12,2
"702","384.3B239607B0",12,2
"703","384.3B239607EC",12,2
"704","384.3B23961112",12,2
"705","384.3B2396113A",12,2
"706","384.3B23961161",2,2
"707","384.3B239612A6",12,2
"708","384.3B239615F1",12,2
"709","384.3B23961605",12,2
"710","384.3B23961660",2,2
"711","384.3B239618B6",12,2
"712","384.3B23961A21",17,1
"713","384.3B23961F79",12,2
"714","384.3B23961FA4",12,2
"715","384.3B23961FB3",12,2
"716","384.3B23962039",2,2
"717","384.3B2396205E",12,2
"718","384.3B23962269",12,2
"719","384.3B2396230B",12,2
"720","384.3B23962343",12,2
"721","384.3B2396237D",12,2
"722","384.3B23962466",12,2
"723","384.3B23962B71",2,2
"724","384.3B23962B75",12,2
"725","384.3B23962BC6",12,2
"726","384.3B23962DDB",12,2
"727","384.3B23962E46",12,2
"728","384.3B23962EC9",12,2
"729","384.3B23962F3D",12,2
"730","384.3B23963048",12,2
"731","384.3B23963247",17,1
"732","384.3B239632A0",12,2
"733","384.3B239637FC",12,2
"734","384.3B2396390B",12,2
"735","384.3B2396395A",12,2
"736","384.3B23963967",12,2
"737","384.3B23963AD1",2,2
"738","384.3B23963E77",2,2
"739","384.3B23963F2D",12,2
"740","384.3B23964049",12,2
"741","384.3B23964096",12,2
"742","384.3B2396417C",12,2
"743","384.3B239642EE",12,2
"744","384.3B23964365",2,2
"745","384.3B23964D0F",12,2
"746","384.3B23964D6C",12,2
"747","384.3B23964E4B",12,2
"748","384.3B23964E58",12,2
"749","384.3B23964F3C",12,2
"750","384.3B2396506A",12,2
"751","384.3B239650A9",12,2
"752","384.3B239650F3",12,2
"753","384.3B23965148",12,2
"754","384.3B239651B3",12,2
"755","384.3B23965228",12,2
"756","384.3B2396529E",12,2
"757","384.3B239652C1",12,2
"758","384.3B23965304",12,2
"759","384.3B23965476",12,2
"760","384.3B239654A4",12,2
"761","384.3B23965510",12,2
"762","384.3B2396551C",12,2
"763","384.3B23965540",12,2
"764","384.3B2396559F",12,2
"765","384.3B239655B6",12,2
"766","384.3B2396573F",12,2
"767","384.3B23965836",12,2
"768","384.3B2396597D",12,2
"769","384.3B239659D3",12,2
"770","384.3B23965A06",12,2
"771","384.3B23965CE5",12,2
"772","384.3B23965D20",12,2
"773","384.3B23965D66",12,2
