day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
40,104.4460,55.3790,139.7500,152.9580,155.9000,143.5040,101.9000,91.0250,43.4960,100.8290,124.2000,100.0000,108.8000,56.8000,94.3040,93.7170,162.5792,96.4000,90.2458,62.5667,135.1583,81.8000,113.9000,149.0000,87.2500,109.7750,114.7792,113.8875
41,95.6580,55.1500,140.3710,147.5750,154.9000,155.6500,86.1120,83.4620,86.3040,101.8630,118.9000,114.9000,113.4000,71.4000,115.6920,94.6210,165.5500,100.5000,79.3391,73.9792,113.6375,106.8000,106.9000,156.1000,83.9333,113.8542,130.1583,118.4542
42,70.4120,118.0750,157.6620,148.7080,163.6000,145.8500,71.5250,122.4880,69.7630,94.1170,124.5000,116.9000,86.8000,97.6000,106.6330,73.2630,172.3583,73.0000,91.7792,72.4417,123.2250,86.0000,141.3000,166.9000,97.9458,106.5042,132.0542,135.8625
43,108.0620,153.9500,143.7380,141.5290,146.7000,122.8000,101.7210,105.6500,66.2080,103.1920,105.0000,84.6000,113.9000,94.8000,77.7250,72.3040,137.2375,72.0000,83.6167,74.9458,130.9292,87.2000,111.1000,157.8000,92.7000,118.4500,144.9625,141.4833
44,119.1750,173.5000,139.7870,122.4120,130.2000,101.3330,103.4500,100.7920,72.5000,106.9380,74.5000,108.6000,109.1000,98.1000,94.5000,58.1830,141.3167,107.7000,81.6625,65.3625,147.1333,88.2000,94.7000,157.3000,92.4875,128.4087,156.9583,129.5417
45,134.5670,185.6790,139.1960,122.8000,122.4000,145.5880,99.3790,91.6750,60.2580,58.2960,123.4000,117.4000,96.4000,105.3000,63.3250,50.6830,147.8958,88.5000,114.4708,63.6708,138.6750,71.6000,123.0000,159.9000,81.1125,137.2125,150.5083,123.3333
46,130.5290,213.2790,106.9960,109.9500,126.7000,131.1830,93.1120,114.4380,57.6170,48.9330,131.0000,104.0000,86.3000,102.7000,55.5830,69.6540,144.9625,100.7000,104.5417,61.2125,146.5417,102.3000,97.8000,163.8000,105.9208,127.6583,149.7417,131.3208
47,123.7580,236.8170,122.2710,139.0790,142.0000,117.3920,90.8210,95.8750,50.4000,96.0870,135.0000,119.4000,53.4000,83.5000,79.0710,75.4920,127.6292,98.3000,93.3458,48.6750,151.3875,66.6000,125.3000,154.1000,89.3125,123.0208,129.6583,119.1000
48,109.6000,227.8210,144.7330,150.3710,143.7000,110.2170,72.1460,69.5540,73.1540,89.5290,129.1000,134.3000,49.7000,80.9000,71.0040,90.2330,129.0625,101.0000,86.2208,38.1500,150.7083,39.0000,125.0000,160.5000,68.7375,136.5000,129.5875,148.1042
49,83.0460,201.1040,157.0920,143.9790,151.2000,110.0790,37.3920,97.2920,72.8500,74.7080,110.8000,123.2000,48.8000,109.2000,77.9290,83.5040,129.0417,69.0000,112.7250,69.6333,158.3083,45.6000,123.3000,165.1000,83.8167,136.7083,148.2375,128.3542
50,57.7790,190.7500,173.2870,144.8130,130.1000,100.8040,66.5460,96.4080,77.8250,73.7210,80.7000,99.9000,78.2000,100.8000,78.9330,90.8250,128.2000,61.6000,111.5333,81.8667,153.5208,147.3000,105.8000,148.3000,78.3250,110.8583,140.0167,126.6333
51,88.4290,177.4420,149.0630,133.9380,122.5000,73.9040,79.4870,92.8580,82.5460,76.7630,57.3000,118.3000,66.9000,92.8000,97.7170,66.4920,132.1250,102.2000,111.5792,70.8083,155.5083,118.8000,129.3000,160.9000,98.1542,123.7708,91.0667,121.7875
52,109.1080,188.1460,156.4670,108.9290,122.8000,111.9330,94.1210,82.9830,64.7920,50.9750,105.5000,107.5000,77.3000,107.9000,84.9170,64.1540,136.3500,85.6000,99.0917,68.1042,150.8583,76.5000,131.1000,152.5000,133.0125,113.9667,91.0917,127.0500
53,125.8330,193.2370,162.3460,116.4710,154.4000,116.6460,108.5040,73.4040,56.6670,42.9710,100.7000,115.2000,63.5000,78.9000,75.0920,93.8790,135.0292,74.4000,81.3042,68.4583,170.0583,119.7000,123.0000,155.3000,128.0583,109.2167,79.3458,136.9125
54,110.4210,219.3290,164.1960,148.6000,144.6000,117.7040,112.8670,77.4330,43.9420,70.5960,96.2000,118.5000,67.9000,69.7000,88.2370,93.1830,141.2167,62.5000,61.2333,53.3750,170.1833,124.6000,124.2000,157.8000,105.0833,99.8375,76.9792,138.5042
55,101.3120,259.6210,159.6330,152.2580,131.5000,112.7370,82.6380,61.2790,82.6920,74.6330,99.7000,114.0000,58.8000,67.0000,90.9420,68.6370,137.8000,73.9000,58.4250,66.1292,142.8583,121.1000,137.0000,169.5000,70.2917,119.0792,100.1208,125.0583
56,71.8830,224.1500,143.6040,145.2870,117.0000,116.1540,95.8870,84.2120,81.1830,96.3790,85.1000,99.0000,56.7000,95.5000,93.8710,68.1120,144.6708,58.2000,73.0042,63.6875,126.7125,95.3000,138.9000,141.8000,84.6250,132.4792,102.3292,134.5833
57,72.3080,252.2210,142.4290,150.8830,108.8000,88.1170,108.3080,82.5710,81.2960,104.9210,75.9000,79.2000,83.0000,98.9000,84.8330,66.4580,150.4208,55.7000,94.2833,65.2708,144.5333,100.3000,147.2000,143.5000,69.9000,115.1833,80.5458,126.0250
58,134.8670,257.8170,146.5040,141.1540,89.9000,58.7250,105.2080,95.6500,76.2460,77.1210,58.7000,104.9000,94.8000,64.0000,49.7790,65.3540,143.0708,92.2000,90.3208,63.0583,139.1250,120.2000,134.3000,147.1000,81.7917,122.9957,48.9167,108.3042
59,125.8960,250.1790,149.5040,120.8750,64.8000,108.5210,107.9750,76.6790,89.0290,65.3210,106.2000,113.5000,79.6000,73.5000,51.8670,56.4290,133.0375,90.5000,83.5625,51.2333,134.4458,77.4000,133.3000,152.7000,81.5750,124.5208,68.9042,112.8417
60,117.4620,223.0000,139.1580,81.8830,121.7250,96.4460,107.9620,88.0210,64.6670,61.1710,113.0000,77.4000,109.4000,64.0000,56.4830,72.9960,133.7000,92.7000,65.4917,58.5750,130.6708,99.3000,156.8000,142.8000,77.3000,101.3955,64.3500,97.0292
61,109.2960,216.5210,110.2250,142.1870,125.3170,99.1000,93.0830,72.1580,76.5420,83.6830,119.5000,101.4000,127.7000,73.0000,68.0750,78.5670,131.6292,94.5000,54.7250,64.6667,133.0583,115.0000,166.2000,143.6000,85.0833,103.7417,71.1083,105.5000
62,109.1790,174.7630,138.3750,149.8000,135.3790,88.5920,80.3290,52.2120,99.8080,79.0920,117.8000,121.0000,83.1000,62.7000,59.4750,82.2250,138.2167,94.3000,50.8083,56.2708,142.0875,118.3000,153.1000,136.5000,79.7833,98.1292,87.4667,122.3500
63,99.0920,178.1830,135.5210,139.2790,151.4920,96.4830,64.7130,73.6620,90.5750,99.4000,111.8000,94.3000,80.4000,105.1000,61.1170,69.2290,138.9042,73.3000,84.6375,70.1583,155.7875,128.9000,140.6000,124.3000,100.9958,110.9167,88.2625,126.9125
64,86.1380,183.2710,132.3290,107.8580,134.5040,75.0000,85.9500,60.1920,91.4210,100.9040,77.0000,55.6000,94.5000,85.6000,67.5500,70.1960,129.0542,56.1000,84.7583,81.9958,156.9667,102.6000,127.8000,112.2000,107.6250,98.2458,72.5708,122.4375
65,104.9710,202.8210,106.4420,116.8880,137.5210,85.8670,91.8370,87.1830,89.2710,77.6210,69.9000,99.1000,92.0000,96.3000,69.2040,52.9120,128.4208,92.7000,73.8042,82.8417,146.7583,84.9000,129.7000,104.1000,110.2304,106.2500,53.3375,107.3583
