"","from","to","mean","q5","q95","origin"
"198","Umatilla River","mainstem, BON to MCN",0.4598129164576,1.36194671e-17,1,"Walla_Walla_River"
"199","Umatilla River","loss",0.64553066078156,1.2463002e-06,1,"Deschutes_River"
"200","Umatilla River","loss",0.952660892,0.6910001,1,"Fifteenmile_Creek"
"201","Umatilla River","loss",0.93214902,0.8826473,0.97300925,"John_Day_River"
"202","Umatilla River","loss",0.99872655,0.99616515,0.9998982,"Umatilla_River"
"203","Umatilla River","loss",0.667726380448129,1.6502655e-07,1,"Yakima_River"
"204","Umatilla River","loss",0.540187079048845,0,1,"Walla_Walla_River"
"205","Yakima River","mainstem, MCN to ICH or PRA",0.165562509275063,1.380062e-12,0.99959495,"Deschutes_River"
"206","Yakima River","mainstem, MCN to ICH or PRA",0.18973848929202,2.7849395e-13,0.99985545,"Fifteenmile_Creek"
"207","Yakima River","mainstem, MCN to ICH or PRA",0.0163402473695651,3.2150485e-15,0.059677735,"John_Day_River"
"208","Yakima River","mainstem, MCN to ICH or PRA",0.019904157535588,2.3500625e-14,0.08450898,"Umatilla_River"
"209","Yakima River","mainstem, MCN to ICH or PRA",0.00410424444,0.0009330989,0.009463833,"Yakima_River"
"210","Yakima River","mainstem, MCN to ICH or PRA",0.5318185333,0.054467285,0.9734144,"Walla_Walla_River"
"211","Yakima River","loss",0.834437511805987,0.0004054336,1,"Deschutes_River"
"212","Yakima River","loss",0.810261487385792,0.000144131695,1,"Fifteenmile_Creek"
"213","Yakima River","loss",0.983659765,0.9403219,1,"John_Day_River"
"214","Yakima River","loss",0.98009585,0.9154914,1,"Umatilla_River"
"215","Yakima River","loss",0.995895755,0.99053595,0.999067,"Yakima_River"
"216","Yakima River","loss",0.468181465055,0.0265854,0.94553225,"Walla_Walla_River"
"217","Walla Walla River","mainstem, MCN to ICH or PRA",0.40232018127351,9.29687800000001e-10,1,"Deschutes_River"
"218","Walla Walla River","mainstem, MCN to ICH or PRA",0.0740318811957801,6.1588805e-11,0.474651399999998,"Fifteenmile_Creek"
"219","Walla Walla River","mainstem, MCN to ICH or PRA",0.3913847665,0.15166745,0.66936265,"John_Day_River"
"220","Walla Walla River","mainstem, MCN to ICH or PRA",0.5645318245,0.27246775,0.85179255,"Umatilla_River"
"221","Walla Walla River","mainstem, MCN to ICH or PRA",0.405034558040306,3.6407355e-10,1,"Yakima_River"
"222","Walla Walla River","mainstem, MCN to ICH or PRA",0.01100963485,0.005857531,0.01738044,"Walla_Walla_River"
"223","Walla Walla River","loss",0.597679837172842,3.0139285e-07,1,"Deschutes_River"
"224","Walla Walla River","loss",0.92596813,0.5253486,1,"Fifteenmile_Creek"
"225","Walla Walla River","loss",0.60861523,0.33063735,0.84833255,"John_Day_River"
"226","Walla Walla River","loss",0.4354681785,0.14820745,0.72753225,"Umatilla_River"
"227","Walla Walla River","loss",0.594965430728795,2.333239e-08,1,"Yakima_River"
"228","Walla Walla River","loss",0.98899037,0.9826192,0.99414205,"Walla_Walla_River"
"229","BON to MCN other tributaries","mainstem, BON to MCN",0.0581953096946465,4.592493e-10,0.40036235,"Deschutes_River"
"230","BON to MCN other tributaries","mainstem, BON to MCN",0.1446665431,0.03037572,0.3193612,"Fifteenmile_Creek"
"231","BON to MCN other tributaries","mainstem, BON to MCN",0.214937192185,0.01801744,0.5704353,"John_Day_River"
"232","BON to MCN other tributaries","mainstem, BON to MCN",0.69677205,0.3675354,0.92680505,"Umatilla_River"
"233","BON to MCN other tributaries","mainstem, BON to MCN",0.0348318340640061,4.329364e-10,0.178632199999999,"Yakima_River"
"234","BON to MCN other tributaries","mainstem, BON to MCN",0.97729618,0.85104185,1,"Walla_Walla_River"
"235","BON to MCN other tributaries","loss",0.941804726,0.59963765,1,"Deschutes_River"
"236","BON to MCN other tributaries","loss",0.855333445,0.6806388,0.96962455,"Fifteenmile_Creek"
"237","BON to MCN other tributaries","loss",0.785062775,0.4295647,0.9819823,"John_Day_River"
"238","BON to MCN other tributaries","loss",0.3032279558,0.07319487,0.632464599999999,"Umatilla_River"
"239","BON to MCN other tributaries","loss",0.96516817,0.8213678,1,"Yakima_River"
"240","BON to MCN other tributaries","loss",0.0227038208217762,0,0.14895815,"Walla_Walla_River"
