"","tag_code_2","natal_origin","rear_type"
"527","3D9.1BF17D16A9",9,1
"528","3D9.1BF17D3FDE",9,1
"529","3D9.1BF18037F5",17,1
"530","3D9.1BF1803EAE",17,1
"531","3D9.1BF180A8F4",17,1
"532","3D9.1BF180B16A",17,1
"533","3D9.1BF180B217",17,1
"534","3D9.1BF180B3EF",17,1
"535","3D9.1BF180BBF4",17,1
"536","3D9.1BF180BFE1",17,1
"537","3D9.1BF180D457",17,1
"538","3D9.1BF180D5DB",17,1
"539","3D9.1BF180D785",17,1
"540","3D9.1BF180DD4A",17,1
"541","3D9.1BF180FD81",17,1
"542","3D9.1BF18151F7",17,1
"543","3D9.1BF18155D5",17,1
"544","3D9.1BF1815857",17,1
"545","3D9.1BF181652B",17,1
"546","3D9.1BF1816546",17,1
"547","3D9.1BF18167B2",17,1
"548","3D9.1BF1816841",17,1
"549","3D9.1BF1816BD3",17,1
"550","3D9.1BF1816C24",17,1
"551","3D9.1BF1816CE6",17,1
"552","3D9.1BF1816EC4",17,1
"553","3D9.1BF1816EE4",17,1
"554","3D9.1BF18350F3",9,1
"555","3D9.1BF1844A85",9,1
"556","3D9.1BF1894683",17,1
"557","3D9.1BF189FAA8",17,1
"558","3D9.1BF18A748E",17,1
"559","3D9.1BF18A7953",17,1
"560","3D9.1BF18A7A2D",17,1
"561","3D9.1BF18A7C7F",17,1
"562","3D9.1BF18A7C8E",17,1
"563","3D9.1BF18A7F52",17,1
"564","3D9.1BF18A820A",17,1
"565","3D9.1BF18A831C",17,1
"566","3D9.1BF18A871D",17,1
"567","3D9.1BF18A8E9C",17,1
"568","3D9.1BF18A8E9C_repeat",17,1
"569","3D9.1BF18A8F47",17,1
"570","3D9.1BF18AB610",17,1
"571","3D9.1BF18AB827",17,1
"572","3D9.1BF18AC279",17,1
"573","3D9.1BF18AC2E8",17,1
"574","3D9.1BF18AC620",17,1
"575","3D9.1BF18ACA34",17,1
"576","3D9.1BF18ACC74",17,1
"577","3D9.1BF18ACC85",17,1
"578","3D9.1BF18ACCF9",17,1
