"","event_type_name","event_site_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"182","Observation","BR0 - Bridge Creek Gauge","B2","B2","Downstream","Downstream",100,NA
"183","Observation","BR1 - Bridge Creek Kiosk","F2","F1","Downstream","Upstream",100,NA
"184","Observation","ENM - Middle Entiat River","51","51","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"185","Observation","KEN - Kenney Creek In-stream Arrays","02","02","Downstream Antenna","Downstream Antenna",120,NA
"186","Observation","AH1 - Ahtanum at Lasalle HS","02","01","Downstream Antenna","Upstream Antenna",100,NA
"187","Observation","NBA - Nursery Bridge Adult","02","01","EAST [NEW] LADDER","EAST [NEW] LADDER",160,NA
"188","Observation","WW1 - Harris Bridge S F Walla Walla","01","02","LEFT","RIGHT",140,NA
"189","Observation","RFL - Redfish Lake Creek","02","03","Instream Array","Instream Array",100,NA
"190","Observation","BBA - Big Bear Creek Array","02","02","Single Span","Single Span",100,NA
"191","Observation","ENS - Upper Entiat River at rkm 35.7","66","62","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"192","Observation","ENF - Upper Entiat River at rkm 40.6","81","81","UPSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"193","Observation","TR1 - Lower Trout Cr - Deschutes","01","01","Upstream Array","Upstream Array",100,NA
"194","Observation","CCA - Lower Charley Creek ISA","05","03","Downstream Antenna","Upstream Antenna",130,NA
"195","Observation","LKR - Little Klickitat River Array","04","03","Downstream Array","Downstream Array",100,NA
"196","Observation","PCA - Panther Creek Array","05","03","Downstream Array","Upstream Array",100,NA
"197","Observation","NFS - North Fork Salmon River","02","02","Upstream Array","Upstream Array",100,NA
"198","Observation","CCW - Catherine Creek Ladder/Weir","C2","C2","Bottom Ladder Antenna","Bottom Ladder Antenna",100,NA
"199","Observation","S2I - Lemhi Sub-reach 2 SC Inlet","01","01","Single Antenna","Single Antenna",100,NA
"200","Observation","S2O - Lemhi Sub-reach 2 SC Outlet","01","01","Single Antenna","Single Antenna",100,NA
"201","Observation","WPC - Wimpey Creek, Lemhi R. Basin","02","02","Downstream Antenna","Downstream Antenna",110,NA
"202","Observation","TOP - Lower Toppenish Creek","25","22","Downstream","Upstream",100,NA
"203","Observation","TP2 - Toppenish Creek at Simcoe Ck","03","01","Downstream Array","Upstream Array",100,NA
"204","Observation","GCM - Grouse Creek Mouth","02","01","Downstream Antenna","Upstream Antenna",100,NA
"205","Observation","SM1 - Simcoe Creek at Stephensen Rd","02","01","Downstream Antenna","Upstream Antenna",100,NA
"206","Observation","LMT - Lower Mainstem Teanaway River","01","01","Upstream Array","Upstream Array",110,NA
"207","Observation","VC1 - Valley Creek, Upstream Site","A2","A2","UPSTREAM ARRAY","UPSTREAM ARRAY",120,NA
"208","Observation","SND - Sandtrap Acclimation Site","02","02","Middle Antenna","Middle Antenna",100,NA
"209","Observation","SHK - Shitike Creek PIT Array","02","02","PIT Tag Array","PIT Tag Array",100,NA
"210","Observation","CHP - Chiwawa Acc. Pond","02","02","Outlet Pipe","Outlet Pipe",120,NA
"211","Observation","CHM - Chumstick Creek","F3","F1","DOWNSTREAM ANTENNA","UPSTREAM ANTENNA",100,NA
"212","Observation","WTL - White River, Wenatchee Basin","06","06","UPPER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",120,NA
"213","Observation","CCU - Catherine Creek at Union","03","01","Downstream Array","Upstream Array",100,NA
"214","Observation","PRH - Priest Rapids Hatchery Outfall","F6","F1","OUTFALL CHANNEL","OUTFALL CHANNEL",110,NA
"215","Observation","SWK - Lower Swauk Creek","01","04","Upstream Series","Downstream Series",130,NA
"216","Observation","EPR - East Fork Potlatch Array","01","01","Upstream Antenna","Upstream Antenna",100,NA
"217","Observation","LRW - Lemhi River Weir","A6","A3","DOWNSTREAM ARRAY","UPSTREAM ARRAY",110,NA
"218","Observation","LBS - Big Springs Creek","02","02","Downstream Antenna","Downstream Antenna",120,NA
"219","Observation","CMP - Camp Creek at rkm 2 - Imnaha","C4","C2","Downstream Array","Upstream Array",100,NA
"220","Observation","PEL - Pelton Dam Ladder - Deschutes","04","04","Adult Weir","Adult Weir",110,NA
"221","Observation","SA1 - Salmon Creek Instream Array","03","03","Downstream Array","Downstream Array",130,NA
"222","Observation","LMC - Lower Manastash Creek","01","01","Upstream Array","Upstream Array",110,NA
"223","Observation","UMC - Upper Manastash Creek","01","02","Upstream Array","Downstream Array",100,NA
"224","Observation","JDC - Cottonwood Creek, NF John Day","02","01","Downstream Antenna","Upstream Antenna",100,NA
"225","Observation","TON - Tonasket Creek","A1","A1","Single Antenna","Single Antenna",100,NA
"226","Observation","KLR - Klickitat Riv. Floating Array","04","04","Downstream Array","Downstream Array",100,NA
